exchange,symbol,expiry,strike,call_gex,put_gex,call_oi,put_oi,spot_price
Binance,ETH,2026-04-15,2425.0,44670338.31564032,0.0,1607.0,0.0,2387.37860465
Binance,ETH,2026-04-15,2450.0,11251481.275540205,0.0,521.8100000000001,0.0,2387.37860465
Binance,ETH,2026-04-15,2500.0,11067841.862985438,0.0,939.0500000000001,0.0,2387.37860465
Binance,ETH,2026-04-16,2400.0,13084651.617969438,0.0,606.01,0.0,2387.37860465
Binance,ETH,2026-04-17,2300.0,11434595.439623516,0.0,946.2,0.0,2387.37860465
Binance,ETH,2026-04-17,2400.0,18978247.017993007,0.0,1105.3600000000001,0.0,2387.37860465
Binance,ETH,2026-04-24,2400.0,14080694.848202277,0.0,1515.4,0.0,2387.37860465
Binance,ETH,2026-04-24,2600.0,16463841.517406493,0.0,2405.87,0.0,2387.37860465
Binance,ETH,2026-04-24,2700.0,14069312.142266596,0.0,2840.57,0.0,2387.37860465
Binance,ETH,2026-05-29,2500.0,10421072.810563188,0.0,2420.56,0.0,2387.37860465
Binance,ETH,2026-05-29,3000.0,12146551.149807576,0.0,4208.4800000000005,0.0,2387.37860465
Binance,ETH,2026-06-26,2500.0,0.0,-10677918.696980678,0.0,3199.4300000000003,2387.37860465
Bybit,BTC,2026-04-15,72000.0,0.0,-12388058.772566203,0.0,79.02,75216.8
Bybit,BTC,2026-04-15,72500.0,24546354.69706424,-47038642.5674334,95.84,183.66,75216.8
Bybit,BTC,2026-04-15,73000.0,24948052.70360058,-20479744.756687045,62.31,51.15,75216.8
Bybit,BTC,2026-04-15,73500.0,32980454.174618356,-41051893.42370828,56.02,69.73,75216.8
Bybit,BTC,2026-04-15,74000.0,75107601.02099095,-38928987.584756754,93.94,48.69,75216.8
Bybit,BTC,2026-04-15,74500.0,100292695.03260809,-51122264.246029645,101.74,51.86,75216.8
Bybit,BTC,2026-04-15,75000.0,184017128.1562451,-28815389.555998083,168.72,26.42,75216.8
Bybit,BTC,2026-04-15,75500.0,111670487.7231513,0.0,103.32,0.0,75216.8
Bybit,BTC,2026-04-15,76000.0,75213230.05994958,0.0,78.22,0.0,75216.8
Bybit,BTC,2026-04-15,76500.0,61854191.35062393,0.0,79.11,0.0,75216.8
Bybit,BTC,2026-04-15,77000.0,29511953.165610768,0.0,49.97,0.0,75216.8
Bybit,BTC,2026-04-15,78000.0,16127141.409806421,0.0,55.74,0.0,75216.8
Bybit,BTC,2026-04-15,79000.0,13453931.383384114,0.0,106.21,0.0,75216.8
Bybit,BTC,2026-04-16,74500.0,57961743.95284369,-19776154.448857572,63.19,21.56,75216.8
Bybit,BTC,2026-04-16,75000.0,30589400.027001865,0.0,31.58,0.0,75216.8
Bybit,BTC,2026-04-16,76000.0,24407683.203785732,0.0,26.21,0.0,75216.8
Bybit,BTC,2026-04-16,76500.0,19091313.318073526,0.0,22.51,0.0,75216.8
Bybit,BTC,2026-04-16,78000.0,13640374.240916135,0.0,27.57,0.0,75216.8
Bybit,BTC,2026-04-17,71000.0,0.0,-10886915.021107256,0.0,39.36,75216.8
Bybit,BTC,2026-04-17,72000.0,23623138.203964505,-18858773.736120652,58.26,46.51,75216.8
Bybit,BTC,2026-04-17,73000.0,28114939.763611548,-14769345.696510028,50.75,26.66,75216.8
Bybit,BTC,2026-04-17,73500.0,15658923.427727839,0.0,24.98,0.0,75216.8
Bybit,BTC,2026-04-17,74000.0,20491332.019664336,-22781214.159606565,29.62,32.93,75216.8
Bybit,BTC,2026-04-17,74500.0,18670376.189189363,-16701554.187543849,25.13,22.48,75216.8
Bybit,BTC,2026-04-17,75000.0,62168924.631742045,-11728816.435197191,80.25,15.14,75216.8
Bybit,BTC,2026-04-17,76000.0,76219484.92696798,0.0,99.44,0.0,75216.8
Bybit,BTC,2026-04-17,77000.0,12507645.029319355,0.0,18.78,0.0,75216.8
Bybit,BTC,2026-04-17,77500.0,20564385.91933746,0.0,34.74,0.0,75216.8
Bybit,BTC,2026-04-17,78000.0,21988439.662823882,0.0,43.05,0.0,75216.8
Bybit,BTC,2026-04-17,80000.0,50483242.05312663,0.0,228.33,0.0,75216.8
Bybit,BTC,2026-04-24,68000.0,12677084.63498284,-11458707.213809248,76.58,69.22,75216.8
Bybit,BTC,2026-04-24,69000.0,0.0,-12207197.670638597,0.0,60.66,75216.8
Bybit,BTC,2026-04-24,70000.0,0.0,-11301069.292912433,0.0,46.89,75216.8
Bybit,BTC,2026-04-24,71000.0,15559054.923490899,-16010000.919268344,54.86,56.45,75216.8
Bybit,BTC,2026-04-24,72000.0,0.0,-17672734.402175166,0.0,54.1,75216.8
