ts_utc,symbol,expiry,strike,call_gex,put_gex,spot_price,total_gex,abs_gex
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,63000.0,0.0,-21115623.754730333,67191.8676087,-21115623.754730333,21115623.754730333
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,64000.0,0.0,-38133102.33465081,67191.8676087,-38133102.33465081,38133102.33465081
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,65000.0,0.0,-37015650.06308036,67191.8676087,-37015650.06308036,37015650.06308036
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,66000.0,0.0,-86505031.60698906,67191.8676087,-86505031.60698906,86505031.60698906
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,67000.0,19937528.04605465,-94576005.21916117,67191.8676087,-74638477.17310652,114513533.26521581
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,68000.0,58501023.47652379,-36791509.12400803,67191.8676087,21709514.352515757,95292532.60053182
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,68500.0,27732888.539252784,0.0,67191.8676087,27732888.539252784,27732888.539252784
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,69000.0,70441323.14351666,0.0,67191.8676087,70441323.14351666,70441323.14351666
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,70000.0,26204791.127034903,0.0,67191.8676087,26204791.127034903,26204791.127034903
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-09,71000.0,10798995.535162404,0.0,67191.8676087,10798995.535162404,10798995.535162404
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-10,63000.0,0.0,-10626573.281181905,67191.8676087,-10626573.281181905,10626573.281181905
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-10,64000.0,0.0,-14471178.386931133,67191.8676087,-14471178.386931133,14471178.386931133
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-10,66000.0,0.0,-11537526.43934148,67191.8676087,-11537526.43934148,11537526.43934148
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-10,66500.0,0.0,-19804967.396928836,67191.8676087,-19804967.396928836,19804967.396928836
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-10,71500.0,12689084.916198276,0.0,67191.8676087,12689084.916198276,12689084.916198276
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-11,64000.0,0.0,-15220917.150718298,67191.8676087,-15220917.150718298,15220917.150718298
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,60000.0,0.0,-16155835.037814712,67191.8676087,-16155835.037814712,16155835.037814712
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,62000.0,0.0,-38047240.87482135,67191.8676087,-38047240.87482135,38047240.87482135
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,63000.0,0.0,-21820769.458730586,67191.8676087,-21820769.458730586,21820769.458730586
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,64000.0,0.0,-16241956.095600862,67191.8676087,-16241956.095600862,16241956.095600862
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,65000.0,0.0,-26241297.371865124,67191.8676087,-26241297.371865124,26241297.371865124
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,66000.0,0.0,-19497823.735873498,67191.8676087,-19497823.735873498,19497823.735873498
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,68000.0,14489502.842349991,0.0,67191.8676087,14489502.842349991,14489502.842349991
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,69000.0,15947144.917649435,0.0,67191.8676087,15947144.917649435,15947144.917649435
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,70000.0,17652817.716156643,0.0,67191.8676087,17652817.716156643,17652817.716156643
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,72000.0,14664304.368037825,0.0,67191.8676087,14664304.368037825,14664304.368037825
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,75000.0,16495975.630800618,0.0,67191.8676087,16495975.630800618,16495975.630800618
2026-03-08 19:27:07.729021+00:00,BTC,2026-03-13,80000.0,12676231.431282168,0.0,67191.8676087,12676231.431282168,12676231.431282168
